Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1942;0.4;0;9.2;32.8;0.1;0.5;0;0.2;10.6;21.6;8.9;0.7;0.3;0.1;0.3;0;0;0.4;4.1;0;0;0.1;2.1;0.5;0.2;0.2;0.4;0;0;0.3;0.4;32.8;94.4
  08/1942;0.1;0.1;0;0;0.3;0.2;0.2;0.3;0.2;0.2;0;0.3;0.1;0;0.3;0.1;0;0;0;0.8;0;0.4;0.4;0;0.9;0.3;0.1;0;0;0.1;0;0.9;5.4
  09/1942;0.1;0.2;0;0;1.1;2;1.4;0;0.2;0;0;0.1;0.2;0.1;0.4;11.7;0.1;12.9;0.1;0.7;0.3;0.2;0.1;9.9;0;5.2;0.4;0;0.1;0.4;---;12.9;47.9
  10/1942;0.4;1.8;0.8;0;0;0;0;0.4;0;0.3;0.3;0.1;0.1;0;0;0.3;0.4;0;0.1;0.1;0;0.1;0.4;11.5;0.2;0;0;2.5;1.5;1.9;0;11.5;23.2
  11/1942;0.8;1.6;0.1;0.3;0.3;0.2;0;14.7;0;0;0.1;0;0.5;1.9;0;0.3;0;3.2;0.1;8.8;0.5;0.1;0;0.1;0.2;2.3;0;0;0;0.7;---;14.7;36.8
  12/1942;6.9;2;1;0;0.4;0;4.8;23.8;0.1;0.2;2.7;0.2;0.3;24.1;54.2;0.5;3.8;0;0;3.6;5;3.9;32.3;2.2;7.4;2.6;5.8;0.3;0;0;0.1;54.2;188.2
  01/1943;0.2;0;0;4.7;0.9;0.1;0.1;11.9;1.2;0;0.5;1.3;15.7;65;2.5;0.3;0.3;0.1;10.5;23.8;1.2;13.1;0;0;17;0.5;0.1;11.5;0.3;9.8;34.8;65;227.4
  02/1943;4.6;2.1;0.3;0.1;0;0;0.2;0;0;9.5;1.9;1;0;0;2.5;37.7;5.7;5.2;2.1;0;1.1;0.6;1.7;0;36.6;0;5;5.4;---;---;---;37.7;123.3
  03/1943;0.1;25.6;0.1;0;0;0;52.7;34.5;0.2;0.2;0;0;4.2;0;7.2;0.2;0.3;0.2;0;0;0;0;0;0.1;0.7;0.2;3.6;0.1;5.8;0;0;52.7;136
  04/1943;12.3;0;0.1;0.1;0.2;0.3;0.2;0.1;0.1;0.1;12;0.4;0;0;0.1;7.5;0;0.3;0;0;0;0.3;0.3;0.2;0.1;0.3;3.9;1;0.2;0;---;12.3;40.1
  05/1943;0;0.1;0.8;0;0;0.3;0.2;0.2;0.2;1;0.3;0.3;0.2;0.2;0.3;0.3;0.1;0.4;0.4;0;0;0;0.1;0;0;0;0;0;0;0;0;1;5.4
  06/1943;0.8;1.4;0.3;0;0;2.1;0;8.6;0.2;0;8;0.5;0.2;0.3;0.1;0.3;0.4;0.4;2.9;0.1;0;0;0.5;0;0;2.6;0.1;0.3;0.2;0.1;---;8.6;30.4
  07/1943;0.1;0;0;0;0;1.2;0.9;0;0.1;0.1;0.3;0.2;0.4;0.1;0;0.1;0.1;0.1;0.8;1.1;0.2;0.1;0.1;0.3;0.3;0.1;0.2;0.1;0;0;0;1.2;7
