Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1945-11-30
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
1986-07-31;8;28.1;21.051613;15.791613;12.13871;74.137097;
1986-08-31;10;97.2;23.012903;17.683871;14.112903;74.008065;
1986-09-30;6;34.7;23.733333;17.714667;13.803333;73.325;
1986-10-31;7;43.9;25.558065;19.443871;15.025806;73.677419;
1986-11-30;13;155.6;27.753333;21.696667;17.263333;74.208333;
1986-12-31;27;383.2;26.325806;21.633548;18.458065;84.66129;
1987-01-31;19;442.3;28.619355;23.336129;19.245161;79.548387;
1987-02-28;17;177.5;28.539286;22.642143;18.782143;78.517857;
1987-03-31;9;178.5;27.916129;21.534839;16.848387;77.629032;
1987-04-30;11;91.5;26.8;21.517333;17.926667;77.241667;
1987-05-31;16;241.2;22.03871;17.478065;13.967742;82.072581;
1987-06-30;7;195.9;21.45;15.697333;11.35;77.183333;
1987-07-31;4;10.7;24.787097;18.516774;13.73871;68.112903;
1987-08-31;8;17.4;23.054839;16.47871;11.33871;69.645161;
1987-09-30;13;59.2;22.393333;17.127333;13.036667;77.483333;
1987-10-31;13;89.9;25.974194;19.834839;15.832258;74.669355;
1987-11-30;11;96.1;27.153333;21.208667;17.31;72.883333;
1987-12-31;13;146.3;27.690323;22.238065;18.648387;75.024194;
1988-01-31;16;293.4;29.487097;23.991613;20.325806;74.379032;
1988-02-29;20;284.7;26.344828;21.513793;18.610345;83.362069;
1988-03-31;11;203.6;28.029032;22.432903;18.732258;75.879032;
1988-04-30;15;173.4;24.686667;20.314;17.5;82.15;
1988-05-31;16;210.8;22.374194;17.863871;14.996774;82.830645;
1988-06-30;7;58.8;20.62;15.387333;10.92;75.905172;
1988-07-31;6;2.2;18.958065;13.672258;9.906452;76.975806;
1988-08-31;2;2.6;24.396667;17.62;12.843333;64.891667;
1988-09-30;6;34.7;25.8;19.696;15.27;68.125;
1988-10-31;14;170.1;23.993548;18.625806;15.209677;78.040323;
1988-11-30;12;85.7;24.77;19.635333;15.943333;73.85;
1988-12-31;14;279.6;27.174194;21.887097;18.387097;76;
1989-01-31;19;359.2;27.683871;22.652258;19.303226;76.225806;
1989-02-28;18;326.5;27.471429;22.941429;19.907143;78.580357;
1989-03-31;18;185.1;27.464516;22.208387;19.180645;79.935484;
1989-04-30;9;96.2;26.726667;21.269333;17.68;75.716667;
1989-05-31;10;30.4;22.248387;17.357419;13.941935;79.008065;
1989-06-30;6;44.4;20.844828;16.293333;13.237931;78.858333;
1989-07-31;8;144.7;20.482759;14.974839;10.976667;74.58871;
1989-08-31;6;32.3;22.648387;16.955484;12.806452;72.33871;
1989-09-30;12;82.2;22.883333;17.682;14.206667;78.041667;
1989-10-31;7;65.4;23.290323;17.685806;14.080645;78.927419;
1989-11-30;12;82.4;25.396667;19.968;16.403333;76.9;
1989-12-31;13;121.7;26.493333;21.216129;17.709677;76.217742;
1990-01-31;18;280.7;29.296774;23.834194;20.016129;74.451613;
1990-02-28;14;152.8;28.714286;23.082857;19.535714;73.741071;
1990-03-31;18;228.8;28.770968;23.200645;19.719355;77.153226;
1990-04-30;6;77.1;28.056667;22.788;19.013793;73.483333;
1990-05-31;8;52.8;22.6;17.409032;13.687097;75.701613;
1990-06-30;4;39.2;21.7;16.364;12.58;73.591667;
1990-07-31;16;121;19.271429;14.797692;11.218519;81.932692;
1990-08-31;9;49.6;21.409677;15.835484;11.645161;75.701613;
1990-09-30;9;96.1;22.586667;16.738667;12.126667;72.433333;
1990-10-31;14;117.6;26.509677;21.024516;16.883871;72.201613;
1990-11-30;14;76;28.846667;22.842667;18.933333;74.083333;
1990-12-31;12;124.7;27.651613;21.816129;17.941935;75.137097;
1991-01-31;15;270.7;27.180645;21.996129;18.722581;78.887097;
1991-02-28;16;358;27.267857;21.851429;18.464286;79.267857;
1991-03-31;26;451.3;25.290323;21.113548;18.448387;84.556452;
1991-04-30;12;169;25.166667;20.28;16.96;79.683333;
1991-05-31;7;34.2;23.293548;18.542581;14.809677;75.830645;
1991-06-30;9;85.8;22.63;17.644;13.916667;75.925;
1991-07-31;4;26.2;21.7;null;12.496667;null;
1991-08-31;4;39.3;23.276667;17.463333;13.04;72.333333;
1991-09-30;7;65.6;23.553333;17.446667;13.456667;74.858333;
1991-10-31;10;153.9;25.76129;20.182581;16.206452;72.467742;
1991-11-30;9;48;27.063333;21.538;17.603333;72.633333;
1991-12-31;19;220.6;27.829032;22.710323;19.135484;75.137097;
1992-01-31;17;203.4;27.448387;22.361935;18.877419;77.024194;
1992-02-29;15;184;28.582759;23.186897;19.486207;72.12931;
1992-03-31;19;273.7;27.367742;22.157419;18.535484;79.298387;
1992-04-30;9;59.3;25.093333;20.69;17.39;75.258333;
1992-05-31;9;71.4;23.983871;19.584516;16.612903;77.443548;
1992-06-30;3;18.6;23.7;18.770667;15.053333;72.466667;
1992-07-31;7;39.1;21.067742;16.118065;12.480645;75.524194;
1992-08-31;6;25.8;21.5;15.901935;12.380645;77.717742;
1992-09-30;17;180.6;21.563333;17.443333;14.6;80;
1992-10-31;14;177.5;25.125806;19.910968;16.416129;77.540323;
